title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,spotify:track:6YZdkObH88npeKrrkb8Ggf,0.716,0.908,8.0,-3.254,0.0,0.103,0.0858,0.0,0.135,0.869,91.03,199693.0,4.0,2
"Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)",Major Lazer,spotify:track:6dLLEE96JRnX1ngkL77yiA,0.704,0.784,7.0,-4.463,0.0,0.142,0.00283,0.0,0.419,0.656,100.083,186448.0,4.0,2
7/11,Beyoncé,spotify:track:02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9.0,-5.137,0.0,0.126,0.0128,0.0,0.126,0.56,136.024,213507.0,4.0,2
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,spotify:track:5b2bu6yyATC1zMXDGScJ2d,0.596,0.73,9.0,-4.091,1.0,0.151,0.24,0.0,0.325,0.525,85.979,192560.0,4.0,3
Tacatà - Radio Edit,Tacabro,spotify:track:62pIfDe2RdhUfYmRWdo9ZJ,0.812,0.857,4.0,-6.034,1.0,0.103,0.0083,0.0,0.354,0.651,126.951,210000.0,4.0,3
Payphone - Cutmore Remix,Maroon 5,spotify:track:5bGHlQpI8SiH2BCpwrJf0e,0.566,0.903,11.0,-4.622,1.0,0.139,0.000837,0.0,0.209,0.551,128.098,191640.0,4.0,3
"Back in Time - featured in ""Men In Black 3""",Pitbull,spotify:track:2U2ONBrf1HJCDxQlynpD6J,0.731,0.915,0.0,-4.453,1.0,0.043,0.00191,1.16e-06,0.324,0.789,127.086,205680.0,4.0,3
Back 2 Life (Live It Up) (feat. T.I.),Sean Kingston,spotify:track:39IwhUzRgupGFdmlgrj7uG,0.646,0.844,5.0,-4.569,1.0,0.0455,0.0537,0.0,0.164,0.101,97.915,203013.0,4.0,3
Anywhere in the World - Radio Edit,Mark Ronson,spotify:track:6uqAo0E8nK5jlqKnbTynDa,0.63,0.772,9.0,-6.088,0.0,0.0525,0.00235,0.0,0.353,0.374,119.984,233360.0,4.0,2
Marilyn Monroe,Nicki Minaj,spotify:track:55hYV5XPhnUtpRbzMYqzJG,0.524,0.932,7.0,-3.538,1.0,0.0475,0.311,0.0,0.354,0.481,172.149,196427.0,4.0,3
TTYLXOX,Bella Thorne,spotify:track:1nIDYHvLaZnD5lEf66SH80,0.819,0.683,7.0,-6.144,1.0,0.156,0.00291,0.122,0.254,0.671,112.007,154773.0,4.0,3
As Long As You Love Me,Justin Bieber,spotify:track:4rvtlpAeDuOn4baUJPCEhy,0.579,0.871,0.0,-3.385,0.0,0.109,0.0679,0.0,0.353,0.601,139.841,229467.0,4.0,2
Ready For Love,Cascada,spotify:track:2YcjOmuHNUiwYjjQMdAKzB,0.667,0.994,1.0,-5.527,0.0,0.0521,0.00301,4.57e-05,0.094,0.787,142.016,204995.0,4.0,2
Summer of Love,Cascada,spotify:track:7i0Ygv8i2z8wyQasGQWE3O,0.56,0.731,8.0,-5.727,1.0,0.0481,0.00311,1.79e-05,0.201,0.519,127.962,215733.0,4.0,3
Sick Of You,Selena Gomez & The Scene,spotify:track:548e8kJ1vpf8SZnWTOVS2X,0.544,0.78,10.0,-3.811,1.0,0.064,0.0161,0.0,0.0351,0.466,147.958,203307.0,4.0,3
#thatPOWER,will.i.am,spotify:track:4DQHskgY5OOkwn9xavjv1g,0.794,0.603,6.0,-6.127,0.0,0.0615,0.00158,9.5e-05,0.0773,0.402,127.997,279507.0,4.0,2
Without You (feat. Usher),David Guetta,spotify:track:3UN6cIn3VIyg0z1LCuFSum,0.608,0.614,2.0,-3.727,1.0,0.0285,0.227,4.06e-06,0.157,0.402,127.884,208133.0,4.0,3
The Girl (feat. Cozi Zuehlsdorff),Hellberg,spotify:track:2TsMgZTaacXikcOAEezzyk,0.49,0.72,9.0,-3.797,0.0,0.0351,0.0691,0.0,0.121,0.428,125.993,265660.0,4.0,2
Lifetime (feat. Kyler England),Yellow Claw,spotify:track:5ceESY61Bf9pJ0Jjh6YK6s,0.572,0.701,8.0,-5.188,1.0,0.0654,0.0523,1.41e-05,0.635,0.34,149.964,216344.0,4.0,0
Machi,Borgeous,spotify:track:16XU9mAbzAId6xAIKetuRj,0.53,0.863,6.0,-3.069,1.0,0.0605,0.00193,0.0,0.0392,0.374,127.96,211943.0,4.0,3
No Place Like Home (feat. Rosette) - Radio Edit,Blasterjaxx,spotify:track:4WPeb1WaiC7Xvc9XkG3HBR,0.658,0.793,4.0,-4.649,0.0,0.0485,0.0638,0.0177,0.18,0.344,127.97,206250.0,4.0,2
Stressed Out,Twenty One Pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0,4.0,2
Make It Home - Radio Edit,Mike Candys,spotify:track:3Frb3dNACuEXjDJMgdKA9e,0.692,0.792,6.0,-4.599,0.0,0.0329,0.00889,0.606,0.47,0.431,127.989,195117.0,4.0,2
Memories - Radio Edit,KSHMR,spotify:track:7DcY0SUvSIcIjHeSGhTXDk,0.521,0.728,8.0,-5.005,0.0,0.0501,0.0352,1.53e-05,0.783,0.32,128.07,185640.0,4.0,0
When I Look At You,Various Artists,spotify:track:6WLArSQvdGhiuTgyoX7HkB,0.448,0.561,6.0,-4.003,1.0,0.0285,0.131,0.0,0.0949,0.219,137.949,249667.0,3.0,6
Alien,Britney Spears,spotify:track:3eBxSM7L8AL5wcYd1t4NC0,0.611,0.732,0.0,-6.078,1.0,0.0314,0.262,0.00352,0.266,0.375,111.984,236000.0,4.0,3
Unusual You,Britney Spears,spotify:track:5yFDS6dDzjjmGFVaYcwPAB,0.629,0.726,0.0,-9.679,0.0,0.103,0.205,0.00506,0.103,0.473,123.974,261000.0,4.0,2
Beautiful Pain,Eminem,spotify:track:0mwXfPCm4AMaz9J0Cn7FXJ,0.682,0.813,6.0,-4.549,0.0,0.443,0.0665,0.0,0.136,0.435,165.439,265025.0,4.0,5
When I'm Gone,Eminem,spotify:track:5hfttriYehiYRo1Vf5vIG2,0.608,0.745,10.0,-5.496,0.0,0.365,0.0551,0.0,0.27,0.725,150.068,281120.0,4.0,5
Anna mä meen (feat. Jonne Aaron),Cheek,spotify:track:1DJQZMuGTdE3MN0nwfIH7v,0.775,0.887,6.0,-4.668,0.0,0.0796,0.0579,0.0,0.159,0.732,99.966,244507.0,4.0,2
Because of You,Kelly Clarkson,spotify:track:3PHYPaguCDKLK1a9cp3uXZ,0.584,0.583,5.0,-5.284,0.0,0.0313,0.248,0.0,0.124,0.15,139.93,219493.0,4.0,2
Just A Dream,Nelly,spotify:track:1xnPVj6jmYCedHG37IE2cc,0.465,0.76,1.0,-6.117,1.0,0.0336,0.0407,0.0,0.126,0.106,180.136,237867.0,4.0,3
Crying for No Reason,Katy B,spotify:track:3DDxYAT7Nuj0tfkHICWYi3,0.664,0.712,1.0,-4.847,0.0,0.0343,0.393,0.000519,0.0789,0.221,111.976,243240.0,4.0,2
